Pathway;Pathway_total;Hits_total;Hits_sig;Expected;P_Fisher;P_EASE;P_Gamma;Emp_Hits;Empirical;AdjP_Fisher;AdjP_EASE;AdjP_Gamma;Pathway_Number;cpd_hits;Condition;Sex;EnrichFactor
Omega-3 fatty acid metabolism;38;3;3;1,070900;0,0719420;0,261990;0,00073980;1;0,01;1,0000000;1,000000;0,01923480;P1;"EC00074;EC00090;EC00091";AcidPFOSTemp;Female;2,801382015127463
Valine- leucine and isoleucine degradation;66;6;4;0,669290;0,1307400;0,492930;0,00095013;17;0,17;1,0000000;1,000000;0,02375325;P2;"EC0008;EC00031";AcidPFOSTemp;Female;5,976482541200376
Butanoate metabolism;31;3;3;0,133860;0,1328100;1,000000;0,00095861;4;0,04;1,0000000;1,000000;0,02375325;P3;EC0008;AcidPFOSTemp;Female;22,411474675033617
Propanoate metabolism;25;2;2;0,133860;0,1328100;1,000000;0,00095861;4;0,04;1,0000000;1,000000;0,02375325;P4;EC0008;AcidPFOSTemp;Female;14,940983116689077
Selenoamino acid metabolism;34;1;1;0,133860;0,1328100;1,000000;0,00095861;4;0,04;1,0000000;1,000000;0,02375325;P5;EC0008;AcidPFOSTemp;Female;7,470491558344539
Xenobiotics metabolism;103;1;1;0,133860;0,1328100;1,000000;0,00095861;11;0,11;1,0000000;1,000000;0,02375325;P6;EC00017;AcidPFOSTemp;Female;7,470491558344539
Glycosphingolipid metabolism;56;9;3;1,472400;0,1630600;0,412240;0,00109160;20;0,20;1,0000000;1,000000;0,02375325;P7;"EC00017;EC00037;EC00057";AcidPFOSTemp;Female;2,037489812550938
Fatty acid activation;78;9;4;3,212600;0,1868900;0,348530;0,00121000;12;0,12;1,0000000;1,000000;0,02375325;P8;"EC00017;EC00090;EC00091;EC000114;EC000115";AcidPFOSTemp;Female;1,245097428873809
C21-steroid hormone biosynthesis and metabolism;77;14;6;0,937010;0,2334800;0,616740;0,00148220;16;0,16;1,0000000;1,000000;0,02667960;P9;"EC00048;EC00082";AcidPFOSTemp;Female;6,403346815935795
Aspartate and asparagine metabolism;84;11;2;1,204700;0,3411700;0,711760;0,00239190;26;0,26;1,0000000;1,000000;0,04066230;P10;"EC0008;EC00055";AcidPFOSTemp;Female;1,660164356271271
Sialic acid metabolism;89;14;2;1,204700;0,3411700;0,711760;0,00239190;15;0,15;1,0000000;1,000000;0,04066230;P11;"EC00057;EC000126";AcidPFOSTemp;Female;1,660164356271271
Glutamate metabolism;24;3;1;0,401570;0,3502300;1,000000;0,00249190;20;0,20;1,0000000;1,000000;0,04066230;P12;EC0008;AcidPFOSTemp;Female;2,490225863485818
